ship_code,ship1,ship2,remarks,source_url
35LW,35LW,DELMAS SURCOUF,FNCZ    after 1991/04/01 (ex. C. R. Libreville),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
54PN,54PN,DELMAS TOURVILLE,AS OF FEB 1991,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06JV,06JV,DELPHIN,OCL REQUEST CallSign Y4SD  trawler,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
909T,909T,DELPHIN,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
318U,318U,DELSUD,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90L5,90L5,DELTA,ICES REQUEST  01Apr60 to 29Oct61,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
67DE,67DE,DELTA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
319T,319T,DELTA ARGENTINA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
318Z,318Z,DELTA BRAZIL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DQ,32DQ,DELTA ECUADOR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DM,32DM,DELTA MAR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DN,32DN,DELTA NORTE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DO,32DO,DELTA ORO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DS,32DS,DELTA SUD,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31D0,31D0,DEMERSAL R/V,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32D0,32D0,DEMERSAL R/V,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
89DE,89DE,DENAR 1,call sign TC7226,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06JX,06JX,DENEB,OCL REQUEST CallSign DBBA 11-24-1994 to present,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31D3,31D3,DENEBOLA,callSign SQDT,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DF,32DF,DENISE MARIE,(TUNA BOAT),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
35DN,35DN,D'ENTRECASTEAUX,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DZ,32DZ,DENVER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DB,18DB,DEPARTURE BAY F/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
317D,317D,DEPENDABLE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DE,18DE,DERASPE,MEDS REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90DB,90DB,DERJUGIN,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
09DH,09DH,DERWENT HUNTER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18GO,18GO,DES GROSEILLIERS,Call Sign CGDX; OCL 7629,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06GQ,06GQ,DESIREE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
352N,352N,D'ESTIENNE D'ORVES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351T,351T,D'ESTREES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DC,31DC,DETECTOR,callSign HP7259,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
3258,3258,DETROIT,AOE-4,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351G,351G,DETROYAT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06LF,06LF,DEUTSCHE BUCHT,OCL REQUEST  L/V,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06DE,06DE,DEUTSCHLAND,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06GK,06GK,DEVON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DE,74DE,DEVONIA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31Y5,31Y5,DEWEY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90DR,90DR,DEYMOS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DN,31DN,DIACHENKO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DJ,74DJ,DIADEMA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
08DI,08DI,DIAGUITA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
09DM,09DM,DIAMANTINA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DM,74DM,DIAMOND,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
09Z5,09Z5,DIAMOND HEAD,COASTAL STATION,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31D1,31D1,DIAMOND SHOALS L/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DS,18DS,DIAMOND STAR,(CGAN),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DN,74DN,DIANA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90DI,90DI,DIANA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DW,32DW,DIANE MARIE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
35DI,35DI,DICKY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74FC,74FC,DIDO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DI,32DI,DILIGENCE,NMUD,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DW,74DW,DILKARA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
11DN,11DN,DINI,(OPCJ),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
68DC,68DC,DIOGO CAO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
744S,744S,DIOMEDE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DR,31DR,DIRECT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
54DF,54DF,DIRECT FALCON,RadioCallSign ELWQ5,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74KO,74KO,DIRECT KOOKABURRA,GYSJ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DS,31DS,DISCOVERER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DI,74DI,DISCOVERY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32V3,32V3,DISCOVERY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74E3,74E3,DISCOVERY,OCL REQUEST  (RRS) From year 1962 - CallSign GLNE,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74D9,74D9,DISCOVERY BAY,(GYXG),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DS,74DS,DISCOVERY II,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
26DI,26DI,DISKO,callSign OVQW,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
901D,901D,DISSEY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DB,31DB,DIVING BELL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
322I,322I,DIXIE ISLE II,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
15DJ,15DJ,DJU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90D2,90D2,DMITRI OVTSIN,OCL request; OCL code 7645,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90D3,90D3,DMITRIY SOLUNSKY,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
9027,9027,DMITRIY STEFANOV,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90MD,90MD,DMITRY MENDELEYEV,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
14AE,14AE,DOCE VEGA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
64DO,64DO,DOLFYN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90BZ,90BZ,DOLINSK,callSign UWKS,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32Y1,32Y1,DOLLY TURMAN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DP,31DP,DOLPHIN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DJ,32DJ,DOMINATOR,(TUNA BOAT),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DM,31DM,DOMINENT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
35DP,35DP,DOMPAIRE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
062R,062R,DONAU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
9070,9070,DONETS,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90ED,90ED,DONETZ,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
7611,7611,DONG FANG HONG,callSign BCVH,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
907Q,907Q,DONGHAE ILHO,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
907Z,907Z,DONUZLAV,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
908Y,908Y,DORA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
48AF,48AF,DORIA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DO,18DO,DOROTHY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DG,18DG,DOROTHYGAIL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DR,32DR,DORTCH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
352W,352W,DOUDART DE LAGREE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
318D,318D,DOWNES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
08EH,08EH,DR. EDUARDO L. HOLMBERG,callSign LRAQ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
58DR,58DR,DR. FRIDTJOF NANSEN,LGWS,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
67GD,67GD,DR. LUBECKI,Local name GDY-100 and GDYSTO; callSign SPG2015,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06DR,06DR,DRACHE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
3259,3259,DRAGAMINAS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
48DR,48DR,DRIADE,callSign IUTG,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
35DR,35DR,DRIFTING BUOY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
61DB,61DB,DRIFTING BUOY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
91DB,91DB,DRIFTING BUOY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
49DZ,49DZ,DRIFTING BUOY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DZ,18DZ,DRIFTING BUOY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
09DB,09DB,DRIFTING BUOY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DZ,74DZ,DRIFTING BUOYS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DB,32DB,DRIFTING PLATFORM,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DR,18DR,DRILL SHIPS,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
46DR,46DR,DROFN,TFOW,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351B,351B,DROGOU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
3145,3145,DROGUE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18DX,18DX,DROXFORD,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DX,74DX,DROXFORD,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90L7,90L7,DRUG PRIRODY,ICES REQUEST  10Feb87 to 01Jul91,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
90YA,90YA,DRUJNYI,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
08DR,08DR,DRUMMOND,callSign LOAD,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351V,351V,DU CHAYLA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DU,31DU,DUANE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DD,32DD,DUBUQUE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
315T,315T,DUC DU BRADANT,Dual entry - also code 355T,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
355T,355T,DUC DU BRADANT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DH,74DH,DUCHESS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
09DU,09DU,DUCHESS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
319Z,319Z,DUCHESS II,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
64DC,64DC,DUCHESS OF HOLLAND,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
062B,062B,DUERN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DU,32DU,DUFFY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351E,351E,DUGUAY-TROUIN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
48AG,48AG,DUILIO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
64DH,64DH,DUKE OF HOLLAND,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
316U,316U,DULUTH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
741F,741F,DUMBARTON CASTLE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74D3,74D3,DUMURRA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DU,74DU,DUNCAN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31D4,31D4,DUNCAN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74D2,74D2,DUNDAS,callSign HO2080,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
59DU,59DU,DUNKERQUOISE,USE COUNTRY 35 AFTER 12-80,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74DK,74DK,DUNKIRK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351Z,351Z,DUPERRE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351L,351L,DUPETIT THOUARS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351C,351C,DUPLEIX,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31D7,31D7,DUPONT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351D,351D,DUQUESNE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31D2,31D2,DURABLE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31U6,31U6,DURANT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
326X,326X,DURHAM,LKA-114,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
32DG,32DG,DUTCH GIRL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DT,31DT,DUTTON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
903G,903G,DVINA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
3261,3261,DWIGHT D. EISENHOWER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31DY,31DY,DYESS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31Y7,31Y7,DYNAMIC,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
77DY,77DY,DYNEKIL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
909V,909V,DZHUBGA,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
9032,9032,DZIGIT,1895 VIA OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31G5,31G5,E. A. GREENE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
313H,313H,E. B. HALL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
18PE,18PE,E. E. PRINCE,AFTER 1960,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31FZ,31FZ,E. F. LARSON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31LG,31LG,E. G. SMALL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31JL,31JL,E. L. JONES,callSign WL2699,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31XN,31XN,E. MCDONNELL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
317O,317O,E. MONTGOMERY,DE 1082,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
26EA,26EA,E. R. L/V,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
06ER,06ER,E. ROTH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
351N,351N,E. V. JACOUBET,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
31ES,31ES,E. W. SCRIPPS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/309-shipcode2
74WL,74WL,E. WILSHAW,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
18EB,18EB,E.P. LE QUEBECOIS,CG3130,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
31EA,31EA,EAGLE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
32O6,32O6,EAGLE,USCG,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
326Y,326Y,EAGLE LEADER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
18EG,18EG,EARL GREY,MEDS REQUEST Canadian Coast Guard CallSign CG3029,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
29EA,29EA,EARM,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
74EG,74EG,EAST GOODWIN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
74EB,74EB,EASTBOURNE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
54EL,54EL,EASTERN LION,6ZFB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
32EY,32EY,EASTERN PACIFIC,(TUNA BOAT),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
18EP,18EP,EASTERN PRIDE,callSign 3EOY5,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
31EZ,31EZ,EASTWARD,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
18EW,18EW,EASTWARD HO,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
31EW,31EW,EASTWIND,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
31Q5,31Q5,EATON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
326U,326U,EBBCO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
06CS,06CS,EBERHART ESSERBERGER,DGEE,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
49EC,49EC,EBISU MARU NO. 1,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
49BT,49BT,ECHIZEN,callSign JLKU,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
35EH,35EH,ECHO 2,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
3137,3137,ECLIPSE,callSign ELJF7,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
09F6,09F6,EDEN,COASTAL STATION,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
09W2,09W2,EDEN STAR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
326Z,326Z,EDENTON,ATS-1,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
32NY,32NY,EDGAR M. QUEENY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
32IV,32IV,EDGERTON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
741A,741A,EDINBURGH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
31ED,31ED,EDISTO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
312E,312E,EDMONDS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
18EM,18EM,EDMONTON,MEDS REQUEST CallSign CGAW,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
31EO,31EO,EDSON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
29ED,29ED,EDUARDO DATO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
74EF,74EF,EDWARD FORBES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
33ER,33ER,EDWARD L. RYERSON,WM5464,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
33EL,33EL,EDWIN LINK,ICES REQUEST  ex R/V SEA DIVER,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
06EN,06EN,EENDRACHT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
58ER,58ER,EGER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
74EA,74EA,EGERIA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
58EG,58EG,EGLANTINE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
49ER,49ER,EHIME MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
18EH,18EH,EHKOLI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
33ED,33ED,EIDER M/S,1950,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
35BW,35BW,EIFFEL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
49VA,49VA,EIJIN MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/310-shipcode3
