ship_code,ship1,ship2,remarks,source_url
321N,321N,ACADIA,AD-42,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
18AI,18AI,ACADIA,callSign CGCB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
321B,321B,ACANIA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
29AC,29AC,ACARTIA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
318I,318I,ACARTIA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
74AH,74AH,ACHERON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
907S,907S,ACHILLES,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
64AC,64AC,ACHILLES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
744R,744R,ACHILLES,F-12,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
GHAC,GHAC,ACHIMOTA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
314A,314A,ACME,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31AC,31AC,ACONA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
352Q,352Q,ACONIT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
06CX,06CX,ACT 10,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
TNAA,TNAA,ACT 12,A3B2,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
74AJ,74AJ,ACT 3,this shipname prior to 12/91; callsign C6JZ2,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
74AS,74AS,ACT 6,C6JZ3 PRIOR 12/91,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
BHAC,BHAC,ACT-10,C6HL8,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
3134,3134,ACTIVE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
745A,745A,ACTIVE,F-171,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
58AK,58AK,ACTIVE KING,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
18AC,18AC,ACTIVE PASS F/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31AU,31AU,ACUSHNET,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
PAAR,PAAR,ADA,callSign 9GUF,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
SADD,SADD,ADDIRIYAH,(HZLL),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
36A1,36A1,ADELAIS,ICES REQUEST 10May85 to 16May85 small boat,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
58AL,58AL,ADELER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90B1,90B1,ADELGUNDA,ICES REQUEST  10Oct17 to 24Dec17,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90UQ,90UQ,ADJARIA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
903E,903E,ADLER,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
06JA,06JA,ADLERGRUND,OCL REQUEST  L/V  CallSign DEIL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
354T,354T,ADMINISTRATEUR THOMAS,CIRCA 1952,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32A1,32A1,ADMIRABLE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
67AA,67AA,ADMIRAL ARCISZEWSKI,callSign SQHZ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
321P,321P,ADMIRAL CALLAGHAN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
323K,323K,ADMIRAL E. J. KING,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
9076,9076,ADMIRAL MAKAROV,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
26AJ,26AJ,ADOLF JENSEN,callSign OVOZ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32A2,32A2,ADRIA,callSign IWVN,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
313A,313A,ADROIT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
09Y4,09Y4,ADVANCE,P-83,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
311A,311A,ADVANCE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32AD,32AD,ADVANCE II,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
33AD,33AD,ADVANCE IV,OCL CODE 7610,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32VR,32VR,ADVENTURER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
74ET,74ET,ADVICE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
36AE,36AE,AEGAEO,(SXYY) FORMERLY AEGAIO PRE OCT 1994,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
58AU,58AU,AEGER,F-311,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
46AE,46AE,AEGIR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
64AE,64AE,AEGIS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
PAAP,PAAP,AEGIS BRITANNIC,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
36A2,36A2,AEGLI,ICES REQUEST 11Dec74 to 19Feb76   small boat,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90A8,90A8,AELITA,(UMOY),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31AE,31AE,AEOLUS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90JR,90JR,AEROLOG,ICES REQUEST  26Aug55 to 27Oct55,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
902D,902D,AFELIY,UKYW,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31A8,31A8,AFFRAY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32AC,32AC,AFRICAN COMET,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31Z6,31Z6,AFRICAN CRESCENT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
54GA,54GA,AFRICAN GARDENIA,ELAT2,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
311F,311F,AFRICAN LIGHTING,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32AF,32AF,AFRICAN METEOR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31FW,31FW,AFRICAN RAINBOW,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32AB,32AB,AFRICAN STAR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
91AE,91AE,AFRICANA I,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
91AF,91AF,AFRICANA II,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
CYAP,CYAP,AFRIS PIONEER,(P3FY),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
29AM,29AM,AGAMENON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90EC,90EC,AGAT,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
261G,261G,AGENT PETERSEN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31GQ,31GQ,AGERHOLM,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31A6,31A6,AGGRESSIVE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
31AV,31AV,AGILE,callSign IJMI,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
74AG,74AG,AGINCOURT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
48BF,48BF,AGIP ABRUZZO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
77AG,77AG,AGNE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
09X3,09X3,AGNES JAMES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
491A,491A,AGS NO 1,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
492A,492A,AGS NO 2,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
493A,493A,AGS NO 3,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
494A,494A,AGS NO 4,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
495A,495A,AGS NO 5,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
496A,496A,AGS NO 6,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
497A,497A,AGS NO 7,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
498A,498A,AGS NO 8,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
