ship_nodc,ship_name,remarks,source_url
54UT,ANL Warrnambool,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
MLNU,ANL Warrnambool,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
MHV4,ANL Windarra,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
748R,ANL Wyong,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
335C,APL Agate,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
PAH3,APL Antwerp,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54SW,APL Arabia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33YK,APL Belgium,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
3350,APL China,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SIYG,APL Chongquing,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33QR,APL Coral,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
337P,APL Cyprine,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54W3,APL Egypt,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SILL,APL England,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54TV,APL Guangzhou,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SITE,APL Gwangyang,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SILR,APL Holland,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54VC,APL Hong Kong,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SIZ5,APL Iolite,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SI2T,APL Japan,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
334Z,APL Korea,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54TU,APL Malaysia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SIE5,APL Oman,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33I0,APL Pearl,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33ZU,APL Philippines,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SIY3,APL Qatar,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SITQ,APL Qingdao,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SI6D,APL Savannah,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SICB,APL Scotland,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
MLRG,APL Sentosa,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54P2,APL Shanghai,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33F1,APL Singapore,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
333R,APL Thailand,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SII1,APL Tourmaline,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SI8U,APL Turquoise,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
HKIS,APL Washington,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AW,ARLIS I,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AY,ARLIS II,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
686J,AS Angelina,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54Q4,AS Carelia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54D6,AS Carinthia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
GI81,AS Carinthia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54MZ,AS Patria,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
543Y,AS Valdivia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54EC,AS Valentia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54F6,AS Victoria,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
547K,AS Vincentia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54MY,AS Virginia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
