active,category,table_field,plot_title,plot_label,plot_color
TRUE,Oceanographic,ctd_bottles.t_degc,Temperature,Temperature (C),red
TRUE,Oceanographic,ctd_bottles.salinity,Salinity,Salinity (practical salinity scale),gray
FALSE,Oceanographic,ctdcast_bottle_dic.bottle_o2_ml_l,Oxygen Content,Oxygen (mL/L),blue
FALSE,Oceanographic,ctdcast_bottle_dic.bottle_o2_mmol_kg,Oxygen Content,Oxygen (µmol/kg),blue
FALSE,Oceanographic,ctdcast_bottle_dic.dic1,Dissolved Inorganic Carbon,DIC (µmol/Kg),brown
FALSE,Oceanographic,ctdcast_bottle_dic.dic2,Dissolved Inorganic Carbon,DIC (µmol/Kg) on a replicate sample,brown
TRUE,Oceanographic,ctd_bottles.o2sat,Oxygen Saturation,Oxygen percent saturation,blue
TRUE,Oceanographic,larvae_counts.count,Larvae,# Larvae / Liter,green
