tbl_new,tbl_description
ctd_cast,"Cast-level metadata: one row per unique (cruise_key, cast_key, cast_dir)"
ctd_measurement,"Long-format CTD sensor readings at each depth within a cast"
ctd_summary,"Summary statistics (avg, stddev, n_obs) per station/depth/measurement_type across cast directions"
measurement_type,"Reference table for CTD measurement types with units and descriptions"
ctd_wide,"Wide-format CTD data with one column per measurement type — supplemental output for ERDDAP (not part of normalized DB)"
