,net_lat,net_lon,gebco_lat,gebco_lon,ctd_depth,gebco_depth
0,33.416666,-122.5,33.414583333333326,-122.50208333333333,4389.0,4030
1,31.36,-117.481666,31.360416666666666,-117.48125,1957.0,1791
2,28.648333,-115.283333,28.64791666666666,-115.28125,229.0,238
3,30.566666,-120.575,30.56458333333333,-120.57708333333333,4023.0,3726
4,31.041666,-118.213333,31.039583333333326,-118.21458333333334,1829.0,1680
5,25.633333,-119.58,25.631249999999994,-119.58125000000001,4078.0,3708
6,29.643333,-116.35,29.643749999999997,-116.35208333333333,2542.0,2419
7,30.895,-119.796666,30.893749999999997,-119.79791666666667,3566.0,3653
8,35.166666,-123.816666,35.164583333333326,-123.81458333333333,,4088
9,34.316666,-120.8,34.31458333333333,-120.79791666666667,732.0,809
10,32.616666,-121.033333,32.61458333333333,-121.03125,3658.0,3812
11,27.583333,-115.955,27.581249999999997,-115.95625,3840.0,3777
12,33.566666,-120.75,33.56458333333333,-120.75208333333333,1829.0,1543
13,37.616666,-123.616666,37.61458333333333,-123.61458333333334,3178.0,3309
14,29.34,-121.45,29.339583333333337,-121.45208333333333,4023.0,3962
15,33.233333,-121.45,33.23125,-121.45208333333333,,3699
16,30.431666,-124.073333,30.43124999999999,-124.07291666666666,4297.0,4033
17,33.0,-122.333333,32.99791666666667,-122.33125000000001,4023.0,4039
18,28.366666,-117.275,28.36458333333333,-117.27708333333334,3292.0,3637
19,27.316666,-121.096666,27.31458333333333,-121.09791666666666,,4020
20,30.066666,-118.326666,30.06458333333333,-118.32708333333333,3566.0,3506
21,30.431666,-124.073333,30.43124999999999,-124.07291666666666,4297.0,4033
22,36.05,-122.033333,36.047916666666666,-122.03125,1463.0,1351
23,31.351666,-121.72,31.352083333333326,-121.71875,4023.0,4146
24,28.933333,-117.65,28.93124999999999,-117.65208333333334,6218.0,3620
25,25.886666,-113.136666,25.88541666666667,-113.13541666666667,192.0,215
26,28.683333,-118.336666,28.68124999999999,-118.33541666666667,2468.0,2733
27,33.395,-117.878333,33.39375,-117.87708333333333,604.0,639
28,27.316666,-116.638333,27.31458333333333,-116.63958333333333,4114.0,3708
29,26.233333,-115.15,26.231250000000003,-115.15208333333334,3246.0,2955
30,30.725,-118.936666,30.727083333333326,-118.93541666666667,2834.0,2756
31,25.825,-114.828333,25.82291666666667,-114.82708333333333,3749.0,3688
32,30.616666,-116.583333,30.61458333333333,-116.58125000000001,,1507
33,30.398333,-119.666666,30.39791666666666,-119.66458333333333,3786.0,3980
34,29.2,-115.65,29.19791666666667,-115.65208333333334,988.0,1360
35,31.983333,-122.4,31.981250000000003,-122.40208333333334,4206.0,4118
36,28.25,-116.353333,28.24791666666667,-116.35208333333333,3603.0,4149
37,28.291666,-118.94,28.289583333333326,-118.93958333333333,3931.0,3920
38,26.65,-117.75,26.64791666666666,-117.75208333333333,4023.0,3847
39,25.941666,-118.911666,25.93958333333333,-118.91041666666666,4023.0,4049
40,25.603333,-113.713333,25.602083333333326,-113.71458333333334,2926.0,2462
41,36.65,-122.433333,36.64791666666666,-122.43125,,2141
42,35.466666,-123.116666,35.46458333333334,-123.11458333333334,3804.0,3830
43,24.92,-115.033333,24.918750000000003,-115.03125,3931.0,3941
44,31.201666,-120.918333,31.202083333333334,-120.91875,3931.0,3904
45,37.616666,-123.125,37.61458333333333,-123.12708333333333,823.0,1023
46,32.821666,-117.541666,32.82291666666667,-117.53958333333333,1189.0,896
47,34.566666,-121.916666,34.56458333333333,-121.91458333333333,3804.0,3747
48,26.611666,-116.16,26.610416666666666,-116.16041666666666,3749.0,3862
49,24.323333,-114.775,24.32291666666667,-114.77708333333334,3749.0,3753
50,27.466666,-117.63,27.464583333333337,-117.63125,3383.0,3842
51,34.15,-121.15,34.14791666666666,-121.15208333333334,,2244
52,32.391666,-119.891666,32.389583333333334,-119.88958333333333,878.0,901
53,32.575,-122.666666,32.57291666666667,-122.66458333333333,,4072
54,31.666666,-120.916666,31.664583333333326,-120.91458333333333,3749.0,3607
55,33.791666,-121.816666,33.789583333333326,-121.81458333333333,3658.0,3635
56,31.546666,-120.25,31.547916666666666,-120.25208333333333,3986.0,3945
57,31.671666,-116.775,31.672916666666666,-116.77708333333334,457.0,429
58,31.516666,-118.353333,31.514583333333334,-118.35208333333333,1829.0,1600
59,24.925,-113.556666,24.92708333333333,-113.55625,,3641
60,30.831666,-121.585,30.831249999999997,-121.58541666666667,4169.0,4128
61,33.15,-123.216666,33.14791666666666,-123.21458333333334,4389.0,4233
62,33.15,-123.216666,33.14791666666666,-123.21458333333334,4389.0,4233
63,31.2,-119.073333,31.19791666666667,-119.07291666666666,3566.0,3645
64,32.183333,-117.186666,32.18124999999999,-117.18541666666667,1372.0,1181
65,32.1,-120.708333,32.102083333333326,-120.70625000000001,3658.0,3807
66,32.153333,-118.951666,32.15208333333334,-118.95208333333333,1646.0,1528
67,30.736666,-123.333333,30.735416666666666,-123.33125000000001,3109.0,3999
68,28.675,-122.768333,28.67708333333333,-122.76875000000001,4297.0,4185
69,28.675,-122.768333,28.67708333333333,-122.76875000000001,4297.0,4185
70,26.318333,-118.333333,26.318749999999994,-118.33125000000001,4023.0,4111
71,29.525,-118.016666,29.52291666666666,-118.01458333333333,3641.0,3631
72,34.883333,-124.5,34.881249999999994,-124.50208333333333,,4344
73,25.108333,-113.113333,25.106250000000003,-113.11458333333333,567.0,1434
74,29.008333,-122.101666,29.006249999999994,-122.10208333333333,4206.0,4169
75,28.033333,-117.925,28.03125,-117.92291666666667,3292.0,3239
76,25.133333,-116.15,25.131249999999994,-116.15208333333334,3713.0,3924
77,27.8,-116.908333,27.80208333333333,-116.90625,3146.0,3653
78,29.846666,-117.366666,29.847916666666663,-117.36458333333334,2468.0,2482
79,33.0,-120.358333,32.99791666666667,-120.35625,1225.0,700
80,26.313333,-113.808333,26.31458333333333,-113.80625,366.0,656
81,26.981666,-117.188333,26.981250000000003,-117.18958333333333,3292.0,3760
82,28.541666,-115.641666,28.539583333333326,-115.63958333333333,421.0,921
83,29.446666,-119.758333,29.44791666666667,-119.75625,3749.0,3770
84,24.791666,-116.665,24.789583333333326,-116.66458333333333,3931.0,3993
85,37.2,-123.0,37.19791666666667,-123.00208333333333,475.0,734
86,33.833333,-118.625,33.83125,-118.62708333333333,366.0,568
87,27.723333,-115.573333,27.722916666666663,-115.57291666666667,2908.0,2376
88,31.05,-122.525,31.05208333333333,-122.52708333333334,4114.0,4099
89,28.833333,-119.375,28.831249999999997,-119.37708333333333,3695.0,3749
90,27.271666,-114.915,27.27291666666666,-114.91458333333334,,796
91,29.783333,-116.016666,29.78125,-116.01458333333333,1509.0,867
