table,column,name_long,units,description_md
euphausiids_tow,cruise_key,Cruise Key,,Cruise natural key (YYYY-MM-NODC); FK to `cruise`. Derived via `derive_cruise_key_on_casts()`, matching `cruise_orig` + ship + date to `cruise`.
euphausiids_tow,ship_key,Ship Key,,NODC ship key; FK to `ship`. Resolved from normalized `ship_name` via `ship` + `metadata/ship_renames.csv`.
euphausiids_tow,site_key,Site Key,,"CalCOFI station key 'LLL.L SSS.S', derived as `printf('%05.1f %05.1f', line, station)`."
euphausiids_tow,geom,Geometry,,Point geometry (WGS84) from longitude/latitude via `add_point_geom()`.
euphausiids_tow,grid_key,Grid Key,,CalCOFI grid cell; FK to `grid`. Derived via `assign_grid_key()`.
euphausiids_measurement,euphausiids_measurement_id,Measurement ID,,Sequential primary key (`row_number()`).
euphausiids_measurement,tow_id,Tow ID,,FK to `euphausiids_tow`.
euphausiids_measurement,measurement_type,Measurement Type,,Measurement type; FK to `measurement_type` ('euphausiid_abundance'); constant.
euphausiids_measurement,measurement_value,Measurement Value,,Abundance value (units per `measurement_type`), from source `Abundance`.
