cast_no,cast_id,ncdepth,nodepths
113,20-17045S-MX-097-23:53-08331100,81.529954,15
114,20-17045S-MX-098-05:27-08331000,93.176492,15
115,20-17045S-MX-098-11:23-08330900,67.49019800000001,16
116,20-17045S-MX-099-04:15-08330700,91.764706,16
117,20-17045S-MX-099-11:58-08330600,3,16
118,20-17045S-MX-099-20:57-08330510,2,10
119,20-17045S-MX-100-02:37-08330420,2,14
120,20-17045S-MX-100-05:09-08330406,2,6
121,20-17045S-MX-100-06:38-08330394,10.320611,5
122,20-17045S-MX-100-09:16-08170435,3,6
123,20-17045S-MX-100-11:20-08180469,2,16
124,20-17045S-MX-100-16:22-08000505,2,6
125,20-17045S-MX-100-20:12-08000550,2,16
126,20-17045S-MX-101-01:07-08000600,2,16
127,20-17045S-MX-101-06:42-08000700,65.76587499999999,16
128,20-17045S-MX-101-12:16-08000800,71.024691,16
129,20-17045S-MX-102-00:23-08001000,106.552632,16
130,20-17045S-MX-102-06:20-07671000,67.62249,16
131,20-17045S-MX-102-11:49-07670900,58.928571,16
132,20-17045S-MX-102-22:26-07670700,40.185189,15
133,20-17045S-MX-103-03:56-07670600,2,16
134,20-17045S-MX-103-07:37-07670550,12.779924,16
135,20-17045S-MX-103-10:47-07670510,3,16
136,20-17045S-MX-103-13:00-07670490,2,8
137,20-17045S-MX-103-21:01-07330550,34.953224,10
138,20-17045S-MX-104-00:37-07330600,2,10
139,20-17045S-MX-104-06:24-07330700,35.625008,10
140,20-17045S-MX-104-12:06-07330800,39.235294,10
141,20-17045S-MX-104-18:03-07330900,65.90015699999999,10
142,20-17045S-MX-105-21:27-06670500,10,4
143,20-17045S-MX-106-03:23-07000510,10,4
144,20-17045S-MX-107-05:13-06670900,78.232044,4
145,20-17045S-MX-107-10:40-06670800,58.665083,4
146,20-17045S-MX-107-21:03-06670600,22.155408,4
147,20-17045S-MX-108-01:42-06670550,10,4
148,20-17045S-MX-108-07:16-06330520,10,3
149,20-17045S-MX-108-18:51-06330700,39.514187,4
150,20-17045S-MX-109-05:20-06330900,75.38461599999999,4
151,20-17045S-MX-109-16:16-06000800,88.137255,4
152,20-17045S-MX-110-02:50-06000600,43.751196,4
153,20-17045S-PR-088-18:28-09330350,37.959233,17
154,20-17045S-PR-090-17:00-09330800,92.76980500000001,18
155,20-17045S-PR-091-09:22-09331000,89.01755,18
156,20-17045S-PR-092-17:08-09001100,79.849315,17
157,20-17045S-PR-093-16:26-09000700,54.202903,16
158,20-17045S-PR-094-16:48-09000350,32.403213,16
159,20-17045S-PR-095-16:55-08670330,5.569715,8
160,20-17045S-PR-096-18:57-08670700,68.214697,18
161,20-17045S-PR-097-17:57-08671100,93.275001,18
162,20-17045S-PR-098-19:35-08330800,77.16667099999999,18
163,20-17045S-PR-099-17:06-08330550,3,18
164,20-17045S-PR-100-17:14-08000510,2,11
165,20-17045S-PR-101-18:28-08000900,88.60559000000001,17
166,20-17045S-PR-102-17:03-07670800,52.823529,18
167,20-17045S-PR-103-18:02-07330500,2,8
168,20-1708SR-MX-213-22:36-09330267,15.582822,8
169,20-1708SR-MX-214-00:58-09340265,12.272731,5
170,20-1708SR-MX-214-02:34-09330280,31.236803,15
171,20-1708SR-MX-214-05:59-09330300,40.746269,16
172,20-1708SR-MX-214-10:05-09330350,54.597703,16
173,20-1708SR-MX-214-14:12-09330400,53.656,16
174,20-1708SR-MX-214-22:39-09330500,23.424658,16
175,20-1708SR-MX-215-02:26-09330550,30.536916,16
176,20-1708SR-MX-215-06:33-09330600,61.214953,16
177,20-1708SR-MX-215-12:16-09330700,23.125,16
178,20-1708SR-MX-215-23:36-09330900,59.6,15
179,20-1708SR-MX-216-05:09-09331000,73.71171200000001,16
180,20-1708SR-MX-216-10:35-09331100,116.642862,16
181,20-1708SR-MX-216-23:49-09001100,79.087636,16
182,20-1708SR-MX-217-05:48-09001000,45.757582,16
183,20-1708SR-MX-217-12:07-09000900,97.085111,16
184,20-1708SR-MX-218-00:10-09000700,31.176471,16
185,20-1708SR-MX-218-06:13-09000600,41.732957,16
186,20-1708SR-MX-218-11:22-09000530,38.771938,16
187,20-1708SR-MX-218-22:06-09000370,41.477893,16
188,20-1708SR-MX-219-01:21-09000350,32.801121,16
189,20-1708SR-MX-219-05:41-09000300,42.449568,16
190,20-1708SR-MX-219-08:43-09000280,22.881357,9
191,20-1708SR-MX-219-10:28-09000277,15,5
192,20-1708SR-MX-219-12:50-08850301,15,5
193,20-1708SR-MX-219-16:24-08680325,15,5
194,20-1708SR-MX-219-19:45-08670350,30.88359,16
195,20-1708SR-MX-219-23:52-08670400,26.830988,16
196,20-1708SR-MX-220-04:15-08670450,33.960527,15
197,20-1708SR-MX-220-08:36-08670500,22.500002,10
198,20-1708SR-MX-220-12:20-08670550,31.764707,16
199,20-1708SR-MX-220-22:35-08670700,44.926111,16
200,20-1708SR-MX-221-04:31-08670800,101.813333,15
201,20-1708SR-MX-221-10:05-08670900,101.904762,16
202,20-1708SR-MX-221-21:29-08671100,40,16
203,20-1708SR-MX-222-03:14-08331100,100.88591,16
204,20-1708SR-MX-222-09:02-08331000,101.812084,16
205,20-1708SR-MX-222-20:39-08330800,101.120627,16
206,20-1708SR-MX-223-02:18-08330700,26.261688,16
207,20-1708SR-MX-223-08:41-08330600,31.108033,16
208,20-1708SR-MX-223-13:07-08330550,17.901413,16
209,20-1708SR-MX-223-23:44-08000600,17,16
210,20-1708SR-MX-224-05:53-08000700,32.874092,16
211,20-1708SR-MX-224-12:25-08000800,41.764713,15
212,20-1708SR-MX-225-00:32-08001000,84.84001000000001,16
213,20-1708SR-MX-225-07:06-07671000,109.988426,15
