# GCP project ucsd-sio-calcofi, read off the Cloud Console billing pages on 2026-08-11 (screenshots beside this file).
# Monthly subtotals (USD) after savings; Jan is the chart's reading (~$75, Ben's note); Aug is month-to-date on 2026-08-11.
month,total,compute_engine,cloud_storage,note
2026-01,75.00,,,"read from the chart; Ben: $75 in Jan"
2026-02,82.12,68.46,13.66,
2026-03,86.39,74.03,11.49,
2026-04,93.23,72.36,15.10,
2026-05,127.41,117.15,10.26,
2026-06,155.84,142.11,13.66,"peak; Ben: $141 in Jun (compute)"
2026-07,95.57,74.05,21.44,
2026-08,55.00,,,"month-to-date on 2026-08-11, read from the chart"
