tbl_old,tbl_new,tbl_description
transects,bird_mammal_transect,"One row per survey transect segment (effort): position, time, dimensions, and bottom depth. Bird/mammal counts join from bird_mammal_observation on gis_key."
observations,bird_mammal_observation,"Bird and mammal counts per transect segment: one row per (transect, species, behavior). count is the measurement; species_code -> bird_mammal_species, behavior_code -> bird_mammal_behavior."
allspecieslist,bird_mammal_species,"Species lookup for the census: 4-letter species_code with common/scientific name, ITIS id, and bird/mammal/fish flags."
behaviorcodes,bird_mammal_behavior,Behavior-code lookup for the census observations.
